C,train_acc,train_f1,val_acc,val_f1,test_acc,test_f1
0.001,0.2625,0.10396039603960396,0.2325,0.09432048681541583,0.23,0.09349593495934959
0.01,0.32416666666666666,0.21816461219084432,0.3075,0.22486457495307055,0.3,0.21105427678317704
0.1,0.8941666666666667,0.8959387944182287,0.895,0.8948647475108847,0.9,0.89865384656334
1.0,0.95,0.9504733604261346,0.9475,0.9463214133379797,0.9625,0.961671780087854
10.0,0.9691666666666666,0.9696385971980767,0.945,0.9441808811206935,0.97,0.9692951284005864
100.0,0.9775,0.9778285692552169,0.955,0.9543164800924535,0.97,0.9695569215730506
1000.0,0.9866666666666667,0.9868390832965017,0.95,0.9488072555157344,0.97,0.9692122921019776
10000.0,0.9975,0.9975270167032901,0.94,0.9389140867449494,0.97,0.9697184520858726
