method,n_evaluations,ARI_mean,ARI_std,NMI_mean,accuracy_mean,f1_mean
Baseline equal-weight K-Means,5,0.00583772597550253,0.000610588328169629,0.007805510312700018,0.2962,0.2940815997236588
Correct lift-weighted K-Means,5,0.17693220884800379,0.0009110860684106875,0.2109366790664219,0.44209999999999994,0.4284756824699885
Randomly reassigned lift weights,100,0.04971757177024604,0.09645268552017819,0.06959496814662042,0.31677999999999995,0.3160560316765629
