feature,lift_sum,lift_weight
ram,295.3369489640489,3.0
three_g,259.74851710166865,2.7589977685676415
fc,193.0949761825122,2.3076249135763742
four_g,118.57355911795487,1.8029713825775908
px_height,54.23122509229306,1.3672498499257848
dual_sim,51.28237550122871,1.3472804583450293
blue,43.77695571247841,1.2964543100078367
touch_screen,43.06015248925994,1.2916001715349312
sc_w,40.80536190432485,1.2763308962692106
wifi,37.68695306783636,1.2552132620048428
pc,13.990090356419193,1.0947398583583403
px_width,10.021601540283335,1.067865545272517
clock_speed,8.322287415669601,1.0563579155595777
m_dep,5.1428045037026875,1.0348266921679936
mobile_wt,5.102559214309162,1.0345541540413914
battery_power,3.142712682297263,1.0212822181127077
n_cores,3.0580473311930714,1.0207088706097882
int_memory,3.03337223604934,1.0205417726883783
talk_time,3.0127587333957644,1.0204021795712566
sc_h,2.01558884390203,1.013649418746771
